time,open,high,low,close,Volume
2025-02-05,1221780440592,1249579469461,1185910063915,1206177544666,240937781138.30292
2025-02-06,1207395837366,1240862073620,1163829551742,1177357164090,171381372356.6877
2025-02-07,1178569125459,1235339392760,1148873808303,1176286644928,183057818718.42004
2025-02-08,1176804587807,1206677772882,1161100590396,1193120132003,179267311139.4524
2025-02-09,1193226050576,1226246403314,1153468729181,1188878277535,106752317469.14027
2025-02-10,1189139252171,1223448359850,1161926765474,1205446882588,147265282967.64316
2025-02-11,1205336233333,1248353143852,1179490410084,1200102888308,137638624375.90085
2025-02-12,1200055645057,1256189337447,1168248736945,1240435995563,140364708816.2282
2025-02-13,1240551844107,1263651258508,1196427130279,1226015649758,192677217324.2744
2025-02-14,1226307142217,1288010210869,1216630456443,1254276697439,143402970261.57108
2025-02-15,1255556642106,1273781353593,1230575644498,1245051504352,140793621039.32422
2025-02-16,1245222436067,1261746973882,1221191450290,1232698816698,82815600441.39346
2025-02-17,1232955134279,1272670724125,1204567565583,1231607333288,109112903626.6174
2025-02-18,1231890920766,1239562109442,1165869515387,1198435710230,146202731909.35385
2025-02-19,1198186456795,1232848976738,1182464004209,1220222779801,146615874381.2899
2025-02-20,1220413636283,1248509923724,1208565397024,1234005409508,119322194092.54462
2025-02-21,1234660851211,1266454071264,1181252224778,1200643971186,140008617443.33102
2025-02-22,1201721018224,1241190663986,1194447306011,1225899644795,193571976262.91248
2025-02-23,1225942790182,1246788841458,1206816096121,1227729312940,100068527040.115
2025-02-24,1228298535673,1237744202586,1103701145648,1117544316127,132799903199.71448
2025-02-25,1117355578707,1140866690166,1051167492273,1122558396603,287455106211.0938
2025-02-26,1122342150897,1135566652649,1055643615171,1085509235963,293741298596.98584
2025-02-27,1085425655641,1111978897845,1059237140578,1083175743247,218615545257.2749
2025-02-28,1082819447340,1095573731746,1000290132198,1073029252721,239847322053.8422
2025-03-01,1074978232547,1101660111725,1048924845488,1079740745936,166520979329.50525
2025-03-02,1080079216184,1241427649670,1064409156321,1224795548299,97045256982.64005
2025-03-03,1225145194729,1234846794519,1051259722440,1070977661107,321175556502.3788
2025-03-04,1082040612767,1114842646834,1016834817915,1093352268444,254052516930.8378
2025-03-05,1094022927210,1138323933801,1080769736114,1120911196959,218825073862.48203
2025-03-06,1121686448980,1159239413016,1095706149949,1113943682881,161576404394.61108
2025-03-07,1114548818047,1137940661734,1062586412369,1083046506207,175519077178.4217
2025-03-08,1084136939272,1105209758457,1060993424741,1081452213537,151913506780.26813
2025-03-09,1083811440583,1091477093956,999218599555,1011442567223,77968873774.36812
2025-03-10,1011789197834,1058095942197,947540413143,963452855429,170493649500.61438
2025-03-11,963434253869,1016822897779,923373434943,997783034345,226360233330.7781
2025-03-12,998219749230,1029618750937,973581986936,1011926071706,176351532984.6615
2025-03-13,1012278842139,1032436769408,982836417584,1000048143787,136647876393.29283
2025-03-14,1000173417131,1042203660503,994722711097,1026365905765,118072379728.6512
2025-03-15,1027116183681,1057407455724,1022795151545,1044639157529,102601063956.24121
2025-03-16,1044778191467,1051244300537,1003383246338,1014485246798,71727317356.98795
2025-03-17,1014323220498,1050043154534,1011111851483,1035340503222,103030231265.4997
2025-03-18,1035436963923,1044086680234,1003504346049,1029105309513,98552029475.5858
2025-03-19,1029591452961,1085184202614,1019967005070,1074642562804,146195054260.18423
2025-03-20,1075565367243,1085663413474,1035685224305,1049703965864,115842913972.5884
2025-03-21,1050680745206,1061973853600,1027467442134,1041649572437,90168182223.19405
2025-03-22,1042438753144,1059355432336,1036764302670,1044774628290,58251226323.09563
2025-03-23,1044880941237,1064525086821,1038881817207,1056902713735,69392540770.4671
2025-03-24,1056978349555,1098694836854,1046726473010,1083741636984,124810650884.10959
2025-03-25,1084394243305,1102781420645,1067911958509,1087044263825,107290512900.2471
2025-03-26,1087502069289,1104231318507,1054630267297,1066988387462,111268583593.6299
2025-03-27,1067353318550,1088543840959,1055849344783,1071830021647,104504947297.9201
2025-03-28,1071924956439,1076529431054,1012756085818,1026838738162,132878564257.66182
2025-03-29,1026922379887,1034030488954,982571716432,996796270783,87859677363.62541
2025-03-30,996846362476,1014054841854,979438343159,992605654034,70849075897.28503
2025-03-31,992217307673,1005924577713,968549680851,991005246384,115895138300.15167
2025-04-01,991391738634,1029517915230,985980383348,1013276381699,110952693094.35333
2025-04-02,1013788703754,1038319719434,962278777939,970882285948,167318136790.7392
2025-04-03,971360157729,994325796121,947034324709,977260844314,139395738610.90366
2025-04-04,976955203131,997598695402,955268395896,985880740239,147252591604.73932
2025-04-05,985929211485,994600821783,966130564088,981051656855,60581916442.94824
2025-04-06,980884457909,986079032321,884887792131,901189013848,128598532207.39078
2025-04-07,901193677188,931368331428,831165381879,901725049905,302759757918.2074
2025-04-08,901521284751,929100019805,866871091441,876097552919,154611834046.67722
2025-04-09,876031096530,963542564166,848148179592,951643940868,251758500012.0055
2025-04-10,952761408351,957038080101,898549735793,918527532912,147381299042.59015
2025-04-11,918681645680,954198911507,912897327200,942104345415,124375056543.03156
2025-04-12,942285778658,989408902220,933410702864,978410964321,101272592550.26872
2025-04-13,978470361361,990919163629,940119496660,953536956714,110996537377.07523
2025-04-14,953570257307,984871571241,946739259213,956750855510,122626597236.51653
2025-04-15,957288078749,974669298447,937242665157,940374078958,102294804950.04843
2025-04-16,939596160015,956119139132,922440664513,940842005602,111953487726.34029
2025-04-17,941374628133,960684474079,933376185962,947399302663,89290575874.57971
2025-04-18,947531845972,958532262521,938464409684,949203444528,61383096827.99861
2025-04-19,949261362204,968697116386,945865812955,962261174311,61400975606.868965
2025-04-20,962163389532,969879732755,944305305696,956809355015,66471966068.430374
2025-04-21,957052687225,985860228275,947615634952,958344674795,124630397307.49823
2025-04-22,959375287536,1026345391797,947483138701,1017989043272,165101826441.91785
2025-04-23,1018883013963,1050566085936,1008302927653,1028142998397,172641057729.37427
2025-04-24,1028788271443,1042385619353,997882137003,1031299578788,129048524407.92471
2025-04-25,1031910509617,1055526439342,1016935825821,1034360151262,148886165812.43027
2025-04-26,1035598735678,1061533531490,1028134172146,1043502955084,97559347821.86678
2025-04-27,1043357716395,1059795392735,1022171772585,1035032390269,87593509748.66904
2025-04-28,1035065634780,1063800339751,1017322318457,1043470868142,132985901944.24918
2025-04-29,1044212489680,1054784862363,1035621069728,1050180330060,128419581486.07489
